C	C	C	C	C	C	C	C	C	N
A	B	C	D	E	F	G	H	I	RESP
AoRzVx	YlulOo	bYkrDQ	QOwynD	bVwTMp	JPgKUk	uHbuzy	rzkbFv	cBzwcX	424.0
aTyFSx	fjzjrp	RBRUiW	oVhIGi	aavoog	xluzDU	xluzDU	YPFiRa	OxYAyg	2331.0
nYhAas	dBhBrl	AoRzVx	sOMZAc	Fciitk	YlulOo	aavoog	OCaOqQ	cBzwcX	792.0
KSxiCN	cBzwcX	rzkbFv	mjWbHL	aavoog	ETnPwO	mjWbHL	aavoog	KSxiCN	5357.0
rzkbFv	AoRzVx	Fciitk	OxYAyg	PJPqcb	mjWbHL	nYhAas	RBRUiW	mjWbHL	362.0
YPFiRa	sqEACu	dBhBrl	QOwynD	QOwynD	oVhIGi	aavoog	pdwtxL	nYhAas	7539.0
OxYAyg	pdwtxL	egqbtO	QOwynD	OCaOqQ	AoRzVx	bYkrDQ	fjzjrp	OxYAyg	1603.0
OCaOqQ	dBhBrl	xluzDU	Fciitk	IVcnKK	Fciitk	AoRzVx	sOMZAc	YlulOo	512.0
cBzwcX	YlulOo	YPFiRa	sOMZAc	egqbtO	aTyFSx	cBzwcX	JPgKUk	OCaOqQ	896.0
rzkbFv	QOwynD	oVhIGi	cBzwcX	mjWbHL	PJPqcb	YPFiRa	dBhBrl	egqbtO	6200.0
AoRzVx	OxYAyg	PJPqcb	aavoog	OCaOqQ	PJPqcb	rzkbFv	oVhIGi	bYkrDQ	140.0
bVwTMp	sOMZAc	aavoog	IVcnKK	sOMZAc	KSxiCN	uHbuzy	RBRUiW	pdwtxL	170.0
RBRUiW	IVcnKK	IVcnKK	aavoog	AoRzVx	aTyFSx	sqEACu	cBzwcX	sqEACu	792.0
rzkbFv	pdwtxL	IVcnKK	sOMZAc	oVhIGi	fjzjrp	xluzDU	uHbuzy	cBzwcX	4123.0
xluzDU	bYkrDQ	pdwtxL	mjWbHL	QOwynD	egqbtO	bVwTMp	egqbtO	egqbtO	8236.0
pdwtxL	OCaOqQ	ETnPwO	KSxiCN	AoRzVx	RBRUiW	PJPqcb	bYkrDQ	rzkbFv	2633.0
JPgKUk	YPFiRa	cBzwcX	KSxiCN	oVhIGi	RBRUiW	bYkrDQ	egqbtO	rzkbFv	848.0
ETnPwO	IVcnKK	ETnPwO	bVwTMp	QOwynD	nYhAas	IVcnKK	sOMZAc	aavoog	5096.0
OCaOqQ	QOwynD	rzkbFv	OCaOqQ	fjzjrp	uHbuzy	aavoog	AoRzVx	IVcnKK	325.0
cBzwcX	PJPqcb	ETnPwO	sqEACu	QOwynD	xluzDU	pdwtxL	aTyFSx	YPFiRa	29.0
aTyFSx	pdwtxL	OxYAyg	JPgKUk	OxYAyg	aTyFSx	sqEACu	OCaOqQ	KSxiCN	5297.0
Fciitk	JPgKUk	sqEACu	uHbuzy	RBRUiW	xluzDU	YPFiRa	rzkbFv	Fciitk	7692.0
bVwTMp	bYkrDQ	mjWbHL	nYhAas	JPgKUk	sqEACu	aavoog	mjWbHL	JPgKUk	1157.0
IVcnKK	QOwynD	YPFiRa	OxYAyg	aTyFSx	oVhIGi	oVhIGi	OxYAyg	OxYAyg	110.0
YPFiRa	bYkrDQ	YPFiRa	IVcnKK	OxYAyg	aavoog	cBzwcX	oVhIGi	JPgKUk	41.0
fjzjrp	sqEACu	rzkbFv	Fciitk	sOMZAc	rzkbFv	dBhBrl	sOMZAc	ETnPwO	84.0
OCaOqQ	uHbuzy	OCaOqQ	YlulOo	bVwTMp	KSxiCN	pdwtxL	IVcnKK	Fciitk	2303.0
YlulOo	Fciitk	YlulOo	egqbtO	sqEACu	RBRUiW	sqEACu	YlulOo	AoRzVx	276.0
YlulOo	nYhAas	YPFiRa	ETnPwO	dBhBrl	nYhAas	uHbuzy	uHbuzy	OxYAyg	4361.0
aTyFSx	fjzjrp	JPgKUk	rzkbFv	aavoog	egqbtO	fjzjrp	RBRUiW	bVwTMp	3128.0
IVcnKK	aTyFSx	AoRzVx	QOwynD	OxYAyg	oVhIGi	nYhAas	bYkrDQ	ETnPwO	1389.0
aTyFSx	nYhAas	OCaOqQ	PJPqcb	cBzwcX	uHbuzy	JPgKUk	OxYAyg	aTyFSx	1023.0
xluzDU	nYhAas	mjWbHL	IVcnKK	oVhIGi	rzkbFv	uHbuzy	nYhAas	uHbuzy	162.0
fjzjrp	OCaOqQ	oVhIGi	JPgKUk	bVwTMp	YPFiRa	RBRUiW	sOMZAc	sOMZAc	3653.0
sOMZAc	IVcnKK	ETnPwO	ETnPwO	oVhIGi	AoRzVx	RBRUiW	bVwTMp	sOMZAc	8476.0
rzkbFv	Fciitk	KSxiCN	IVcnKK	AoRzVx	AoRzVx	mjWbHL	YlulOo	PJPqcb	123.0
RBRUiW	QOwynD	aTyFSx	Fciitk	IVcnKK	fjzjrp	YlulOo	xluzDU	YlulOo	2777.0
mjWbHL	ETnPwO	JPgKUk	OCaOqQ	dBhBrl	OxYAyg	QOwynD	sOMZAc	rzkbFv	2131.0
QOwynD	bVwTMp	OxYAyg	mjWbHL	pdwtxL	YlulOo	IVcnKK	mjWbHL	PJPqcb	1928.0
pdwtxL	egqbtO	aavoog	dBhBrl	IVcnKK	sOMZAc	IVcnKK	IVcnKK	sqEACu	2561.0
AoRzVx	Fciitk	PJPqcb	xluzDU	OxYAyg	pdwtxL	mjWbHL	Fciitk	OCaOqQ	485.0
OCaOqQ	YPFiRa	OCaOqQ	xluzDU	sqEACu	QOwynD	AoRzVx	xluzDU	IVcnKK	2858.0
YPFiRa	rzkbFv	nYhAas	OCaOqQ	RBRUiW	ETnPwO	IVcnKK	rzkbFv	RBRUiW	286.0
rzkbFv	OxYAyg	dBhBrl	sOMZAc	egqbtO	dBhBrl	fjzjrp	bYkrDQ	bVwTMp	635.0
mjWbHL	bVwTMp	OxYAyg	YPFiRa	oVhIGi	QOwynD	PJPqcb	KSxiCN	QOwynD	771.0
aavoog	YPFiRa	Fciitk	PJPqcb	aTyFSx	IVcnKK	bYkrDQ	cBzwcX	mjWbHL	6505.0
dBhBrl	nYhAas	ETnPwO	fjzjrp	egqbtO	QOwynD	aavoog	RBRUiW	RBRUiW	2753.0
OxYAyg	AoRzVx	fjzjrp	nYhAas	RBRUiW	KSxiCN	KSxiCN	rzkbFv	ETnPwO	3645.0
rzkbFv	aavoog	cBzwcX	aTyFSx	uHbuzy	xluzDU	KSxiCN	pdwtxL	egqbtO	732.0
PJPqcb	YlulOo	dBhBrl	cBzwcX	YlulOo	sOMZAc	PJPqcb	AoRzVx	dBhBrl	1452.0
Fciitk	bYkrDQ	pdwtxL	Fciitk	Fciitk	pdwtxL	dBhBrl	mjWbHL	QOwynD	3031.0
PJPqcb	OCaOqQ	QOwynD	bVwTMp	IVcnKK	aTyFSx	KSxiCN	Fciitk	PJPqcb	2146.0
aavoog	OCaOqQ	aavoog	ETnPwO	mjWbHL	ETnPwO	OxYAyg	PJPqcb	YlulOo	4793.0
dBhBrl	aTyFSx	cBzwcX	OCaOqQ	KSxiCN	nYhAas	bYkrDQ	cBzwcX	aavoog	2922.0
bYkrDQ	aTyFSx	sqEACu	QOwynD	QOwynD	xluzDU	KSxiCN	oVhIGi	cBzwcX	3745.0
xluzDU	PJPqcb	RBRUiW	cBzwcX	mjWbHL	ETnPwO	pdwtxL	uHbuzy	OCaOqQ	367.0
sqEACu	Fciitk	mjWbHL	QOwynD	bYkrDQ	oVhIGi	IVcnKK	aTyFSx	aavoog	1575.0
Fciitk	xluzDU	mjWbHL	aTyFSx	JPgKUk	aavoog	KSxiCN	aTyFSx	sOMZAc	2676.0
bYkrDQ	sqEACu	JPgKUk	YPFiRa	JPgKUk	pdwtxL	JPgKUk	JPgKUk	egqbtO	438.0
YPFiRa	aavoog	PJPqcb	sOMZAc	xluzDU	fjzjrp	aTyFSx	pdwtxL	nYhAas	8376.0
YlulOo	IVcnKK	oVhIGi	oVhIGi	cBzwcX	sqEACu	egqbtO	IVcnKK	QOwynD	4227.0
JPgKUk	OxYAyg	rzkbFv	sOMZAc	pdwtxL	cBzwcX	ETnPwO	pdwtxL	IVcnKK	3400.0
egqbtO	YPFiRa	RBRUiW	nYhAas	sOMZAc	pdwtxL	cBzwcX	bYkrDQ	YlulOo	3450.0
mjWbHL	fjzjrp	QOwynD	dBhBrl	aavoog	xluzDU	RBRUiW	mjWbHL	bYkrDQ	50.0
nYhAas	PJPqcb	bYkrDQ	QOwynD	sqEACu	OCaOqQ	JPgKUk	QOwynD	xluzDU	2967.0
JPgKUk	bVwTMp	JPgKUk	RBRUiW	QOwynD	aTyFSx	OCaOqQ	OxYAyg	rzkbFv	72.0
aTyFSx	bYkrDQ	PJPqcb	sOMZAc	YlulOo	RBRUiW	egqbtO	nYhAas	JPgKUk	1206.0
rzkbFv	aavoog	uHbuzy	oVhIGi	AoRzVx	oVhIGi	JPgKUk	rzkbFv	KSxiCN	538.0
sOMZAc	AoRzVx	sOMZAc	bVwTMp	OxYAyg	cBzwcX	RBRUiW	bVwTMp	oVhIGi	3989.0
OCaOqQ	OCaOqQ	sqEACu	OCaOqQ	mjWbHL	YlulOo	bVwTMp	IVcnKK	YPFiRa	8256.0
AoRzVx	aTyFSx	xluzDU	YPFiRa	QOwynD	JPgKUk	rzkbFv	bVwTMp	rzkbFv	2140.0
bVwTMp	OCaOqQ	OxYAyg	fjzjrp	OCaOqQ	bYkrDQ	xluzDU	cBzwcX	ETnPwO	4752.0
aTyFSx	bVwTMp	PJPqcb	uHbuzy	JPgKUk	Fciitk	nYhAas	nYhAas	IVcnKK	1819.0
cBzwcX	JPgKUk	ETnPwO	bVwTMp	nYhAas	JPgKUk	rzkbFv	YPFiRa	OCaOqQ	516.0
RBRUiW	uHbuzy	pdwtxL	pdwtxL	dBhBrl	dBhBrl	xluzDU	YlulOo	bVwTMp	7746.0
Fciitk	OxYAyg	xluzDU	AoRzVx	oVhIGi	JPgKUk	rzkbFv	OxYAyg	dBhBrl	5408.0
pdwtxL	pdwtxL	ETnPwO	mjWbHL	IVcnKK	oVhIGi	YlulOo	YlulOo	YPFiRa	8499.0
ETnPwO	mjWbHL	aavoog	OCaOqQ	sOMZAc	dBhBrl	dBhBrl	pdwtxL	OxYAyg	146.0
oVhIGi	PJPqcb	bYkrDQ	OCaOqQ	RBRUiW	bVwTMp	PJPqcb	mjWbHL	PJPqcb	432.0
OCaOqQ	rzkbFv	RBRUiW	YPFiRa	egqbtO	pdwtxL	PJPqcb	OCaOqQ	Fciitk	5753.0
aavoog	QOwynD	JPgKUk	bYkrDQ	nYhAas	RBRUiW	bVwTMp	sOMZAc	nYhAas	160.0
egqbtO	dBhBrl	aavoog	bYkrDQ	Fciitk	QOwynD	PJPqcb	YPFiRa	AoRzVx	1456.0
aTyFSx	KSxiCN	Fciitk	ETnPwO	dBhBrl	OCaOqQ	YPFiRa	OCaOqQ	dBhBrl	4287.0
egqbtO	YlulOo	nYhAas	cBzwcX	IVcnKK	RBRUiW	rzkbFv	pdwtxL	RBRUiW	3612.0
PJPqcb	QOwynD	JPgKUk	OCaOqQ	YlulOo	xluzDU	Fciitk	QOwynD	oVhIGi	363.0
cBzwcX	cBzwcX	RBRUiW	OCaOqQ	Fciitk	sOMZAc	ETnPwO	QOwynD	aTyFSx	104.0
mjWbHL	oVhIGi	xluzDU	sqEACu	KSxiCN	OxYAyg	YPFiRa	oVhIGi	dBhBrl	2593.0
ETnPwO	cBzwcX	sqEACu	aTyFSx	uHbuzy	aTyFSx	YlulOo	dBhBrl	dBhBrl	829.0
PJPqcb	QOwynD	YPFiRa	uHbuzy	dBhBrl	YPFiRa	egqbtO	egqbtO	sqEACu	251.0
AoRzVx	xluzDU	oVhIGi	OxYAyg	RBRUiW	xluzDU	QOwynD	rzkbFv	bYkrDQ	4060.0
bYkrDQ	IVcnKK	cBzwcX	nYhAas	bVwTMp	RBRUiW	ETnPwO	ETnPwO	Fciitk	3062.0
bYkrDQ	aTyFSx	dBhBrl	nYhAas	nYhAas	YlulOo	nYhAas	JPgKUk	sqEACu	1350.0
JPgKUk	oVhIGi	AoRzVx	JPgKUk	oVhIGi	sqEACu	RBRUiW	YPFiRa	nYhAas	639.0
AoRzVx	aavoog	AoRzVx	RBRUiW	bYkrDQ	AoRzVx	AoRzVx	bVwTMp	QOwynD	3489.0
aTyFSx	aavoog	aTyFSx	YlulOo	RBRUiW	pdwtxL	KSxiCN	OCaOqQ	ETnPwO	281.0
sOMZAc	Fciitk	aTyFSx	egqbtO	QOwynD	fjzjrp	AoRzVx	mjWbHL	PJPqcb	1653.0
JPgKUk	KSxiCN	nYhAas	sOMZAc	AoRzVx	fjzjrp	KSxiCN	bYkrDQ	YPFiRa	983.0
bVwTMp	RBRUiW	pdwtxL	QOwynD	sOMZAc	rzkbFv	xluzDU	ETnPwO	xluzDU	568.0
QOwynD	OxYAyg	bYkrDQ	OCaOqQ	dBhBrl	oVhIGi	oVhIGi	OxYAyg	PJPqcb	1355.0
PJPqcb	rzkbFv	RBRUiW	nYhAas	YlulOo	QOwynD	xluzDU	fjzjrp	IVcnKK	1917.0
rzkbFv	IVcnKK	YPFiRa	dBhBrl	RBRUiW	aavoog	rzkbFv	dBhBrl	pdwtxL	1239.0
sqEACu	rzkbFv	OxYAyg	YlulOo	oVhIGi	uHbuzy	JPgKUk	sqEACu	uHbuzy	2792.0
